phase,epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
Phase1_LinearProbe,1,0.5879790868405038,0.9786631722151088,0.5689729616170474,0.9707520891364902,0.0009619778264893878,366.61661863327026
Phase1_LinearProbe,2,0.5526497752504679,0.9898167413572343,0.5659372130476332,0.9802228412256268,0.0008536998372026805,282.6222882270813
Phase1_LinearProbe,3,0.5453224649960497,0.9918774007682458,0.5539797279163987,0.9802228412256268,0.0006916503744663625,282.82229709625244
Phase1_LinearProbe,4,0.5412874486626492,0.9930077624839949,0.5559653505973498,0.9796657381615599,0.0005005000000000001,281.2643184661865
Phase1_LinearProbe,5,0.5376804729735195,0.9938580345710627,0.5561169087388721,0.9807799442896936,0.00030934962553363774,282.01872420310974
Phase1_LinearProbe,6,0.5350916129984105,0.9944082106274008,0.5532525393624159,0.9835654596100278,0.00014730016279731955,281.2578639984131
Phase1_LinearProbe,7,0.5330863978127054,0.9950784250960307,0.5546278084220992,0.983008356545961,3.902217351061228e-05,280.4906189441681
Phase1_LinearProbe,8,0.5324188961567555,0.9951684539052497,0.554402484435557,0.9802228412256268,1e-06,280.95057463645935
Phase2_FineTuning,1,0.5285078335205206,0.9957486395646606,0.5495372054304585,0.9760445682451253,9.891830623632339e-06,391.69007325172424
Phase2_FineTuning,2,0.5217556928245115,0.9966089148527529,0.5551147892614593,0.9727019498607242,9.572050015330874e-06,390.4102396965027
Phase2_FineTuning,3,0.5174244340036956,0.9975092029449424,0.548136678977265,0.9763231197771588,9.054634122155991e-06,389.1955280303955
Phase2_FineTuning,4,0.5142644100015203,0.9978893245838668,0.5534051787222328,0.971866295264624,8.36219650147635e-06,389.0688052177429
Phase2_FineTuning,5,0.5122235449419742,0.9983394686299616,0.5590287725905522,0.9682451253481894,7.525000000000001e-06,389.33961725234985
Phase2_FineTuning,6,0.5104100995729278,0.9986695742637645,0.5495263348714887,0.9727019498607242,6.579634122155991e-06,391.06441378593445
Phase2_FineTuning,7,0.5088051367126567,0.9988596350832266,0.5571037275213385,0.9715877437325905,5.567415893174886e-06,391.4665629863739
Phase2_FineTuning,8,0.5076026561623499,0.9991797375160051,0.5605288514519801,0.9690807799442896,4.532584106825117e-06,390.42334604263306
